级别	日期和时间	来源	事件 ID	任务类别
警告	2026/4/29 6:42:11	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.WscDataProtection
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
错误	2026/4/29 6:40:12	BTHUSB	17	无	本地蓝牙无线收发器失败(错误内容无法确定)，不会使用它。驱动程序已经被卸载。
警告	2026/4/29 6:40:12	BTHUSB	3	无	发送到适配器的命令已经超时；适配器没有响应。
错误	2026/4/29 6:40:10	Microsoft-Windows-TPM-WMI	1796	无	安全启动更新无法更新安全启动变量，错误为 此计算机上未启用安全启动。。有关详细信息，请参阅 https://go.microsoft.com/fwlink/?linkid=2169931
错误	2026/4/29 6:40:08	Service Control Manager	7000	无	"由于下列错误，l1vhlwf 服务启动失败: 
虚拟机监控程序功能对于该用户来说不可用。"
警告	2026/4/29 6:40:08	BTHUSB	3	无	发送到适配器的命令已经超时；适配器没有响应。
错误	2026/4/29 6:40:08	Microsoft-Windows-WER-SystemErrorReporting	1001	无	计算机已经从检测错误后重新启动。检测错误: 0x00000133 (0x0000000000000001, 0x0000000000001e00, 0xfffff805be5c33a0, 0x0000000000000000)。已将转储的数据保存在: C:\WINDOWS\Minidump\042926-8890-01.dmp。报告 ID: 1c27d7ff-dbe3-43d5-a2c1-fe3d74fbb69d。
关键	2026/4/29 6:40:01	Microsoft-Windows-Kernel-Power	41	(63)	系统已在未先正常关机的情况下重新启动。如果系统停止响应、发生崩溃或意外断电，则可能会导致此错误。
错误	2026/4/29 6:40:01	volmgr	162	无	成功生成备份文件。
错误	2026/4/29 6:40:08	EventLog	6008	无	上一次系统的 6:04:15 在 ‎2026/‎4/‎29 上的关闭是意外的。
错误	2026/4/29 6:37:39	Microsoft-Windows-HAL	15	无	"IOMMU 检测到错误。

Device： 0x700
FaultInformation： 0x7BD40C00F000
FaultReason： 0x6
ExtendedData： 0x0"
警告	2026/4/29 0:13:16	Microsoft-Windows-Resource-Exhaustion-Detector	2004	Resource Exhaustion Diagnosis Events	Windows 成功诊断出虚拟内存不足的情况。以下程序使用了大部分虚拟内存: yysls.exe (7892) 使用了 16759197696 字节；steamwebhelper.exe (10720) 使用了 413622272 字节；MsMpEng.exe (4596) 使用了 368541696 字节。
警告	2026/4/29 0:13:14	Microsoft-Windows-Resource-Exhaustion-Detector	2004	Resource Exhaustion Diagnosis Events	Windows 成功诊断出虚拟内存不足的情况。以下程序使用了大部分虚拟内存: yysls.exe (7892) 使用了 16759222272 字节；steamwebhelper.exe (10720) 使用了 413622272 字节；MsMpEng.exe (4596) 使用了 350195712 字节。
警告	2026/4/29 0:13:11	Microsoft-Windows-Resource-Exhaustion-Detector	2004	Resource Exhaustion Diagnosis Events	Windows 成功诊断出虚拟内存不足的情况。以下程序使用了大部分虚拟内存: yysls.exe (7892) 使用了 16759222272 字节；steamwebhelper.exe (10720) 使用了 413622272 字节；MsMpEng.exe (4596) 使用了 349872128 字节。
警告	2026/4/29 0:06:59	Microsoft-Windows-Time-Service	47	无	时间提供程序 NtpClient: 在尝试联系它 8 次以后没有收到来自手动配置 的对等机 time.windows.com,0x9 的有效响应。此对等机将不再被作为时间源，并且 NtpClient将尝试用此 DNS 名称发现一个新的对等机。错误为: 无法连接到对等机。 
警告	2026/4/29 0:06:20	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.WscDataProtection
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
警告	2026/4/29 0:06:20	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.WscBrokerManager
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
警告	2026/4/29 0:06:20	Microsoft-Windows-DistributedCOM	10016	无	"应用程序-特定 权限设置并未向在应用程序容器 不可用 SID (不可用)中运行的地址 LocalHost (使用 LRPC) 中的用户 NT AUTHORITY\SYSTEM SID (S-1-5-18)授予针对 CLSID 为 
Windows.SecurityCenter.SecurityAppBroker
、APPID 为 
不可用
 的 COM 服务器应用程序的 本地 启动 权限。此安全权限可以使用组件服务管理工具进行修改。"
警告	2026/4/29 0:04:19	Microsoft-Windows-Time-Service	134	无	NtpClient 无法将手动对等机设置为用作时间源，因为“time.windows.com,0x9”上出现 DNS 解析错误。NtpClient 将在 15 分钟后重试，此后重试间隔增加一倍。错误为: 不知道这样的主机。 (0x80072AF9)
错误	2026/4/29 0:04:18	BTHUSB	17	无	本地蓝牙无线收发器失败(错误内容无法确定)，不会使用它。驱动程序已经被卸载。
警告	2026/4/29 0:04:18	BTHUSB	3	无	发送到适配器的命令已经超时；适配器没有响应。
